bucket,file,total_lines,size_bytes,peak_rss_kb,iteration,load_ms,modify_ms,save_ms,total_ms
Small (<100 lines),AAhmed233__microservice_dxc__sonarqube_docker-compose.yml.yml,21,380,4576,26,0.068933,0.000575,0.075733,0.145241
Small (<100 lines),AAhmed233__microservice_dxc__sonarqube_docker-compose.yml.yml,21,380,4576,27,0.065998,0.00039,0.070149,0.136537
Small (<100 lines),AAhmed233__microservice_dxc__sonarqube_docker-compose.yml.yml,21,380,4576,28,0.065434,0.000413,0.072597,0.138444
Small (<100 lines),AAhmed233__microservice_dxc__sonarqube_docker-compose.yml.yml,21,380,4576,29,0.063904,0.000377,0.069075,0.133356
Small (<100 lines),ALipckin__task-flow-backend__auth_docker-compose.yml.yml,45,984,4648,0,0.385835,0.006305,0.393882,0.786022
Small (<100 lines),ALipckin__task-flow-backend__auth_docker-compose.yml.yml,45,984,4648,1,0.217576,0.001378,0.252008,0.470962
Small (<100 lines),ALipckin__task-flow-backend__auth_docker-compose.yml.yml,45,984,4648,2,0.19709,0.001196,0.231903,0.430189
Small (<100 lines),ALipckin__task-flow-backend__auth_docker-compose.yml.yml,45,984,4648,3,0.192825,0.001195,0.256378,0.450398
Small (<100 lines),ALipckin__task-flow-backend__auth_docker-compose.yml.yml,45,984,4648,4,0.170633,0.001302,0.17944,0.351375
Small (<100 lines),ALipckin__task-flow-backend__auth_docker-compose.yml.yml,45,984,4648,5,0.154916,0.000887,0.152424,0.308227
Small (<100 lines),ALipckin__task-flow-backend__auth_docker-compose.yml.yml,45,984,4648,6,0.138477,0.000681,0.142751,0.281909
Small (<100 lines),ALipckin__task-flow-backend__auth_docker-compose.yml.yml,45,984,4648,7,0.137977,0.000637,0.139627,0.278241
Small (<100 lines),ALipckin__task-flow-backend__auth_docker-compose.yml.yml,45,984,4648,8,0.137829,0.000608,0.139761,0.278198
Small (<100 lines),ALipckin__task-flow-backend__auth_docker-compose.yml.yml,45,984,4648,9,0.135078,0.000545,0.14158,0.277203
Small (<100 lines),ALipckin__task-flow-backend__auth_docker-compose.yml.yml,45,984,4648,10,0.143755,0.000604,0.163025,0.307384
Small (<100 lines),ALipckin__task-flow-backend__auth_docker-compose.yml.yml,45,984,4648,11,0.141087,0.000522,0.158984,0.300593
Small (<100 lines),ALipckin__task-flow-backend__auth_docker-compose.yml.yml,45,984,4648,12,0.13839,0.000647,0.1574,0.296437
Small (<100 lines),ALipckin__task-flow-backend__auth_docker-compose.yml.yml,45,984,4648,13,0.138644,0.000595,0.157602,0.296841
