environment_long,environment_short,extension_field_count,file,line_count,parse_error,ports_long,ports_short,service_count,size_bytes,top_level_section_count,top_level_sections,volumes_long,volumes_short,yaml_nesting_depth
4,0,0,PACER-PHII__PACER-client__docker-compose.yml.bk.yml,64,,0,5,5,1485,3,services;version;volumes,0,1,4
3,0,0,PACER-PHII__PACER-client__docker-compose.yml.bk1.yml,43,,0,3,3,1019,3,services;version;volumes,0,1,4
1,6,0,PacktPublishing__Building-Smart-Home-Automation-Solutions-with-Home-Assistant__Chapter_08_docker-compose.yml.yml,176,,0,9,9,4569,3,networks;services;version,0,19,5
0,0,0,PacktPublishing__PHP-8-Programming-Cookbook__docker-compose.yml.bak.yml,67,,0,0,4,1435,2,networks;services,0,4,6
0,1,0,Payum__PayumServer__docker-compose.yml.dist.yml,13,,0,0,2,224,2,services;version,0,0,4
0,0,0,PelionIoT__pelion-edge-provisioner__docker-compose.yml.yml,35,,0,1,2,597,4,networks;services;version;volumes,0,1,4
2,1,0,PeterNguyenX__AI-ActivEdu-thesis__Others_docker-compose.yml.yml,76,,0,4,4,1920,3,services;version;volumes,0,11,4
0,2,0,PhuongDongIOT__restaurant__containers_kong_3_debian-12_docker-compose.yml.yml,24,,0,2,2,578,2,services;volumes,0,1,4
0,0,0,PoeenCy__NFStream-CIC-IDS-Pipeline__docker-compose.yml.yml,13,,0,0,1,470,1,services,0,2,4
2,0,0,ProjektZespolowyMetro__METRO__docker-compose.yml.yml,101,,0,3,3,3029,2,networks;services,0,4,5
0,0,0,ProtocolONE__s3-proxy__docker_docker-compose.yml.yml,11,,0,0,1,179,3,networks;services;version,0,0,4
4,0,1,ProudRykar__MTUCI-Course_3-Fullstack__docker-compose.yml.yml,140,,0,7,6,4232,5,networks;services;version;volumes;x-shared-env,0,5,5
1,2,0,Prushka__Recipe-Fullstack__docker-compose.yml.yml,34,,0,2,3,739,3,services;version;volumes,0,1,4
5,5,0,Qauttrolab__paperless-ngx-synology-setup__docker-compose-ds723.yml.yml,541,,0,3,10,31097,2,networks;services,0,24,5
2,0,0,RJWALICZEK__iot-monitor__docker-compose.yml.yml,41,,0,2,2,916,2,services;volumes,0,1,5
1,1,0,RadovanBulla1304__DP_OtazkovySystem_v2__docker-compose.yml.yml,48,,0,1,4,1332,1,services,0,3,4
1,0,0,Ragdata__labstacks__src_svc_wallos_docker-compose.yml.yml,16,,0,1,1,304,3,services;version;volumes,0,2,4
1,0,0,Rahul-jooluru__AgentChain__docker-compose.yml.yml,22,,0,1,1,468,3,services;version;volumes,0,1,5
2,0,0,Reggy501__edutrack__attendance-service_docker-compose.yml.yml,35,,0,2,2,743,2,services;volumes,0,1,5
2,0,0,RichardUchotski__spring-boot-fullstack__docker-compose.yml.yml,37,,0,2,2,662,3,networks;services;volumes,0,1,4
1,6,0,Rishabhmannu__banking-observability-platform__backups_20250623_174521_docker-compose.yml.yml,243,,0,15,16,5849,3,networks;services;volumes,0,13,5
1,2,0,RitwikRishRaj__CN-SUMMER__docker-compose.yml.yml,74,,0,3,3,1569,4,networks;services;version;volumes,0,5,5
0,2,0,RobertoLangarica__udg-vivo__VIVO_docker-compose.yml.yml,36,,0,2,2,663,3,networks;services;version,0,1,5
0,2,0,SONLE03__ClothingStoreE__docker-compose.yml.yml,25,,0,1,2,462,2,services;version,0,2,4
3,0,0,SafariDesk-OS__Core__docker-compose.yml.yml,94,,0,4,5,2252,2,services;volumes,0,7,5
1,0,0,SaiMihir05__agentic-research-assistant__docker-compose.yml.yml,69,,0,6,5,1480,3,services;version;volumes,0,4,5
2,0,0,Sanjay2729117__projectS__docker-compose.yml.yml,29,,0,2,2,541,3,services;version;volumes,0,1,4
0,1,0,SeaXen__StatSea__docker-compose.yml.yml,27,,0,1,2,564,1,services,0,1,4
0,1,0,SecCodeSmith__text-to-audiobook__docker-compose.yml.yml,35,,0,1,1,825,2,services;version,0,4,5
0,0,0,Sergei2019__foodgram__infra_docker-compose.yml.yml,53,,0,1,4,1064,3,services;version;volumes,0,9,4
0,3,0,ShanelReyes__rory__docker-compose.yml.bak.yml,152,,0,3,3,4921,2,networks;services,0,13,6
1,1,0,Sharma-Mayank15__RAG-Based-LLM-Resume-Screening-AI-Evaluation-System__fastapi_resume_screener_docker-compose.yml.yml,24,,0,2,2,477,3,services;version;volumes,0,2,4
1,0,0,Shreyash-Thakur__news-recommendation-system__docker-compose.yml.yml,39,,0,2,3,706,3,services;version;volumes,0,3,4
0,2,0,Shrishesha4__movie-mag__docker-compose.yml.yml,87,,0,1,3,2303,4,networks;services;version;volumes,0,3,5
2,16,0,SimpleHomelab__Docker-Traefik__archives_traefik_v1_docker-compose-t1-swarm.yml.yml,1070,,10,24,21,39842,3,networks;services;version,1,64,6
42,2,0,SimpleHomelab__Docker-Traefik__archives_traefik_v1_docker-compose-t1.yml.yml,1870,,0,42,48,73960,3,networks;services;version,1,114,5
0,0,0,Sohail-crdriod__-sohail-devops-week-__docker-compose.yml.yml,8,,0,1,2,88,1,services,0,0,4
0,1,0,Soufleuse__GererEquipeJS__docker-compose.yml.yml,32,,0,3,1,891,2,networks;services,0,1,5
0,2,0,SovereignCloudStack__standards__compliance-monitor_docker-compose.yml.yml,67,,0,5,3,2082,2,secrets;services,0,6,4
0,0,0,Stanislav-sipiko__passive-sdr-radar__docker-compose.yml.yml,8,,0,0,1,132,2,services;version,0,1,4
0,0,0,StheffanyHadlich__Academic-Angular__docker-compose.yml.yml,12,,0,1,1,164,2,services;version,0,1,4
2,0,0,SuryaKTiwari11__kafka__docker-compose.yml.yml,29,,0,2,2,654,2,services;volumes,0,2,4
0,0,0,T6523__diabetes-prediction-s5e12__docker-compose.yml.yml,20,,0,2,1,461,1,services,0,1,9
0,3,0,TJCatFood__backend__docker-compose.yml.dev.yml,78,,0,7,5,1754,2,services;version,0,5,5
0,1,0,TORIFUKUKaiou__qiita_articles__.devcontainer_docker-compose.yml.yml,8,,0,0,1,161,1,services,0,1,4
2,2,0,TR-Krishna__docker__docker-compose.yml.yml,83,,0,5,5,2075,2,services;volumes,0,3,5
